,Sentence,CF,SF,CbD,DI,Violation,Distribution
0,The knife scraped the school fence rapidly. It was enclosing the private property.,0.3879787227659157,0.3879787227336039,-2.338134440481464,1.5519148911048108,1.5819689303896067,"[[5.84759364e-01 3.34097787e-01 5.16391923e-02 2.95036573e-02]
 [9.14887085e-01 3.97006505e-03 8.07922593e-02 3.50590287e-04]
 [3.86739798e-01 2.20960824e-01 2.49658758e-01 1.42640620e-01]
 [6.05074957e-01 2.62566494e-03 3.90604388e-01 1.69499040e-03]]"
1,The skillful heart pushed muscle-oxygenating blood that nourished cells. It was a life-invigorating fluid.,0.24543467546226339,0.24543467523956408,-2.100241726751155,0.9817387018637517,1.5819689303896067,"[[0.44926322 0.20120051 0.24141821 0.10811806]
 [0.58274941 0.06771431 0.31314899 0.03638729]
 [0.56846761 0.25458566 0.12221382 0.05473291]
 [0.73737211 0.08568116 0.15852629 0.01842044]]"
2,The resourceful sailors escaped off the boats. They were suffering structural damage.,0.7673893001409603,0.7673893025074544,-4.062600725013794,3.069557210029818,1.581968930389607,"[[0.53325275 0.31781543 0.09331603 0.05561579]
 [0.07121643 0.77985175 0.01246245 0.13646937]
 [0.18105673 0.10790873 0.44551204 0.2655225 ]
 [0.02418031 0.26478516 0.05949857 0.65153597]]"
3,The storm caused a delay for the morning flight. It was producing tornadoes.,0.8616016712388439,0.8616016710243082,-5.263313047230505,4.403582414858761,1.581968930389607,"[[0.44810915 0.03414035 0.4810969  0.03665361]
 [0.34796395 0.13428554 0.37357947 0.14417103]
 [0.06281839 0.00478598 0.86638765 0.06600797]
 [0.04877949 0.01882488 0.67276394 0.25963169]]"
4,The heart pumped blood that maintained life. It was a blood-pressure-controlling liquid.,0.5167650170174104,0.5167650169982165,-3.7815022201723085,2.0670600681198104,1.581968930389607,"[[0.5678364  0.39036431 0.02477055 0.01702874]
 [0.422984   0.53521671 0.0184517  0.02334759]
 [0.33325472 0.229099   0.25935222 0.17829405]
 [0.24824301 0.31411072 0.19319269 0.24445359]]"
5,The lively birds chirped and ate the seeds. They were a sweet treat.,0.81776763490437,0.8177676349355323,-4.120389791249581,3.2710705397458684,1.5819689303896065,"[[0.11029497 0.82535345 0.00758581 0.05676577]
 [0.67934587 0.25630254 0.04672373 0.01762785]
 [0.07609844 0.56945584 0.04178234 0.31266338]
 [0.46871734 0.17683694 0.25735226 0.09709346]]"
6,The sniper took aim the ruthless terrorist. He was a barbaric bomb maker.,0.7625210186836591,0.7625210185389937,-4.666904860756581,3.5845035364136777,1.5819689303896072,"[[0.2336213  0.05092534 0.5874086  0.12804476]
 [0.11898361 0.16556303 0.2991679  0.41628546]
 [0.04803754 0.01047134 0.77299236 0.16849876]
 [0.02446558 0.0340433  0.39368593 0.54780519]]"
7,The storm disrupted the commercial flight. It was causing flash floods.,0.41369238362291805,0.41369238362619676,-2.388544313110805,1.8430455783555661,1.581968930389607,"[[4.79398191e-01 4.19778773e-01 5.37540251e-02 4.70690110e-02]
 [8.93704223e-01 5.47274125e-03 1.00209388e-01 6.13648269e-04]
 [4.43883489e-01 3.88680788e-01 8.92687269e-02 7.81669964e-02]
 [8.27496966e-01 5.06731048e-03 1.66416644e-01 1.01907903e-03]]"
8,The bold sailors dove off the boats. They were not sturdy.,0.6991098631673334,0.6991098631768897,-3.275834062909174,2.3505456365890303,1.5819689303896067,"[[0.0565656  0.61526681 0.0276304  0.30053719]
 [0.40854713 0.26328528 0.19956157 0.12860602]
 [0.00741667 0.08067144 0.07677933 0.83513255]
 [0.05356715 0.03452096 0.55454155 0.35737034]]"
9,The winning sniper killed the dangerous terrorist. He was a barbaric dictator.,0.7173758998568713,0.7173758998740757,-5.117861258633309,3.813000541502422,1.5819689303896072,"[[1.29176513e-03 8.84862481e-04 5.92179127e-01 4.05644246e-01]
 [1.56619790e-03 6.10429712e-04 7.17986330e-01 2.79837043e-01]
 [2.12223206e-01 1.45373450e-01 3.81247685e-01 2.61155658e-01]
 [2.57309578e-01 1.00287078e-01 4.62242950e-01 1.80160394e-01]]"
