,Unnamed: 0,Sentence,CF,SF,CbD,DI,Violation,Distribution,Entropy
0,0,The knife scraped the school fence rapidly. It was enclosing the private property.,0.8623980632465674,0.8623980632589198,-4.413863116991795,3.7220711513595823,1.583045071178002,"[[0.52409685 0.16722291 0.23534263 0.07333761]
 [0.67311367 0.01820608 0.30030432 0.00837593]
 [0.08470561 0.02631432 0.67473387 0.2142462 ]
 [0.10771862 0.00330131 0.86569937 0.0232807 ]]",(0.151648276877+0j)
1,1,The resourceful sailors escaped off the boats. They were suffering structural damage.,0.5980422946131252,0.5980422947541364,-3.7384674804443168,2.6073502202021346,1.5819681940579282,"[[0.28570849 0.06611066 0.52637907 0.12180177]
 [0.33417915 0.01764    0.6156823  0.03249855]
 [0.61579712 0.14249519 0.19629045 0.04541725]
 [0.72027409 0.03801821 0.22958735 0.01212034]]",(0.181389044991-0j)
2,2,The storm caused a delay for the morning flight. It was producing tornadoes.,0.7103401472905448,0.710340147698638,-4.840188814405917,3.528574701888095,1.577103255743518,"[[0.23904355 0.00823966 0.71857981 0.03413698]
 [0.14532271 0.10196049 0.44677465 0.30594214]
 [0.40374132 0.01655253 0.55388204 0.02582412]
 [0.25529748 0.16499636 0.33679989 0.24290627]]",(0.902097845367-0j)
3,3,The lively birds chirped and ate the seeds. They were a sweet treat.,0.3539316641928061,0.3539316641930128,-2.296482018706142,1.4157266567716993,1.5556307142965244,"[[0.0646432  0.085235   0.26074081 0.589381  ]
 [0.00119567 0.14868253 0.03040988 0.81971192]
 [0.11189184 0.27364537 0.21349217 0.40097062]
 [0.00734788 0.37818934 0.02425767 0.59020511]]",(0.235679324761-0j)
4,4,The sniper took aim the ruthless terrorist. He was a barbaric bomb maker.,0.6913577144771464,0.6913577144780877,-3.9214062105725858,2.765430857912986,1.5813320031939089,"[[0.13619682 0.36330993 0.1360738  0.36441945]
 [0.35351672 0.14599003 0.35505373 0.14543952]
 [0.00481284 0.0123999  0.26745779 0.71532947]
 [0.01217034 0.0050424  0.69640012 0.28638714]]",(0.808891134362-0j)
5,5,The storm disrupted the commercial flight. It was causing flash floods.,0.7828910434024636,0.78289104341416,-4.3919703168640325,3.2084458300853327,1.5817776053561032,"[[0.12832038 0.08444105 0.47422861 0.31300996]
 [0.21179859 0.00096284 0.78385388 0.00338468]
 [0.35187138 0.2314572  0.25067762 0.1659938 ]
 [0.58079881 0.00252977 0.41485367 0.00181775]]",(0.498991176361-0j)
6,6,The bold sailors dove off the boats. They were not sturdy.,0.5156778314270176,0.5156778314260573,-3.669508836315437,2.0627113257115783,1.5818868056602766,"[[0.54995261 0.33429974 0.07238763 0.04336002]
 [0.32533065 0.55892169 0.04324386 0.07250379]
 [0.37211375 0.22468772 0.25022649 0.15297204]
 [0.21958357 0.3772179  0.14899095 0.25420759]]",(0.205989225341+0j)
7,7,The winning sniper killed the dangerous terrorist. He was a barbaric dictator.,0.4759773838366774,0.4759773839001923,-2.397817942048059,1.709651300113176,1.582326771967472,"[[0.00107124 0.01286639 0.08866565 0.89739672]
 [0.00333415 0.01060348 0.24626    0.73980237]
 [0.03852018 0.40283028 0.05121672 0.50743283]
 [0.11129271 0.33005775 0.13830145 0.42034809]]",(0.948897855638+0j)
8,8,The hardworking bee gathered pollen from the lovely flower. It was generating pollen.,0.6384443681162774,0.638444368117291,-3.534745452612812,2.553777472471278,1.596920109246697,"[[0.72536204 0.13979103 0.12009238 0.01475455]
 [0.1887241  0.67642897 0.03798461 0.09686232]
 [0.6050636  0.10414452 0.24039082 0.05040106]
 [0.167719   0.54148912 0.0589897  0.23180218]]",(0.052634001224+0j)
9,9,The sailors abandoned the ill-designed boats. They were navigating poorly.,0.8741861902721384,0.8741861902798901,-6.132416053481487,5.549488012987882,1.603036439288544,"[[0.22693584 0.66845777 0.0402959  0.06431049]
 [0.01991837 0.87547524 0.00128905 0.10331734]
 [0.20051402 0.57990353 0.06671771 0.15286473]
 [0.01599285 0.7644247  0.00521457 0.21436788]]",(0.126076355528+0j)
10,10,The hardworking bee gathered pollen from the intricate flower. It was a treasure.,0.7260924578538678,0.7260924596114763,-4.586626551424928,3.523780557114211,1.573565452633062,"[[0.04066741 0.7277808  0.00168834 0.22986346]
 [0.38964773 0.37880048 0.10944446 0.12210733]
 [0.02081672 0.63312815 0.02153903 0.3245161 ]
 [0.29017572 0.36376915 0.20891647 0.13713866]]",(0.391126500644-0j)
11,11,The brave students learned from the stimulating books. They were convincing.,0.8302329078418292,0.8302329078414786,-5.109901896735139,4.4899513859035896,1.5914391705073678,"[[0.05405906 0.0841832  0.37643814 0.48531961]
 [0.1307559  0.00748636 0.82349835 0.0382594 ]
 [0.05398959 0.07003175 0.37650761 0.49947106]
 [0.11665876 0.00736258 0.83759548 0.03838318]]",(0.015915913601-0j)
12,12,The sailors left the navy boats. They were facing the storm.,0.1827297485323672,0.1827297484111599,-1.6357895294465925,0.86058361189256,1.575523057524252,"[[0.58978731 0.20936974 0.14302561 0.05781735]
 [0.75583372 0.04332333 0.1921251  0.00871785]
 [0.63359225 0.23477093 0.09922066 0.03241615]
 [0.82288186 0.04548132 0.12507696 0.00655986]]",(0.000517596278-0j)
13,13,The serrated knife scraped the old fence surrounding the garden. It was a separating the yards.,0.3185878758028542,0.3185878758081395,-2.386549354065406,1.3362895337945633,1.5553560786315268,"[[0.08556649 0.08900102 0.30420935 0.52122314]
 [0.00761974 0.16694777 0.04808371 0.77734877]
 [0.13627255 0.23801878 0.25350329 0.37220538]
 [0.01079234 0.363499   0.04491112 0.58079755]]",(0.943573362416-0j)
14,14,The activist people held a vigil against the government. They were demanding a voice.,0.3408103302786907,0.3408103313908011,-3.350025602665693,1.7284340210346605,1.596378997681614,"[[0.38216398 0.35666429 0.13590905 0.12526268]
 [0.49657498 0.24225329 0.15095512 0.11021662]
 [0.14099496 0.1657248  0.37707806 0.31620217]
 [0.20360672 0.10311304 0.44392337 0.24935687]]",(0.39411415017-0j)
15,15,The diligent birds pecked at the mouth-watering seeds. They were a filling food.,0.2534591202939436,0.2534591202893025,-1.7564652613189344,1.0138364811809009,1.5709998662068871,"[[0.0217795  0.05238416 0.22484235 0.70099399]
 [0.00090754 0.07325612 0.05938167 0.86645467]
 [0.09248214 0.22126618 0.1541397  0.53211197]
 [0.01859078 0.29515755 0.04169843 0.64455325]]",(0.044039658176+0j)
16,16,The police chased the criminals for hours. They were notorious and dangerous.,0.4288316883415916,0.428831688537724,-2.445972144668383,1.7335785043724377,1.5730451829174197,"[[0.06140634 0.47256331 0.04373162 0.42229873]
 [0.05591847 0.47805118 0.05912853 0.40690182]
 [0.01204934 0.08852568 0.09308861 0.80633637]
 [0.01007736 0.09049766 0.10496964 0.79445534]]",(0.035179739196+0j)
17,17,The sniper took out the terrorist. He was a ruthless assassin.,0.35708128593546,0.3570812859401051,-3.8853192451544234,2.144753588898223,1.5868050908810685,"[[0.20253562 0.38674556 0.14593136 0.26478746]
 [0.52186314 0.06741804 0.36279224 0.04792659]
 [0.18752868 0.34004541 0.16093829 0.31148761]
 [0.47023184 0.05734225 0.41442353 0.05800238]]",(0.991768507264+0j)
18,18,The monstrous storm destroyed the flight. It was bringing high winds.,0.9643815901397402,0.9643815900263096,-5.946600500378095,5.531684917683563,1.5811047850411666,"[[1.55650310e-03 3.67902568e-04 7.76199811e-01 2.21875783e-01]
 [1.83108053e-03 9.33251328e-05 9.64474915e-01 3.36006792e-02]
 [2.78808888e-01 8.04077864e-02 4.98947426e-01 1.41835900e-01]
 [3.47380602e-01 1.18360730e-02 6.18925394e-01 2.18579313e-02]]",(0.811016112703+0j)
19,19,The treacherous storm cancelled the flight. It was flying to Hawaii.,0.3991158236481237,0.3991158240928237,-1.9264909605421745,1.5964632965049717,1.717630274826745,"[[0.45002488 0.25351132 0.25615425 0.04030955]
 [0.06232796 0.64120824 0.25288393 0.04357987]
 [0.04733195 0.25973135 0.65884718 0.03408951]
 [0.04514708 0.26191623 0.27006481 0.42287188]]",(0.453642433567-0j)
20,20,The diligent birds tried the tall seeds. They were fearless.,0.930798379547236,0.9307983795494528,-5.28102395434241,4.409112383635729,1.6155036394088065,"[[2.31043471e-01 2.02261843e-01 3.73741559e-01 1.92953127e-01]
 [4.30633609e-01 2.67170429e-03 5.63046853e-01 3.64783333e-03]
 [2.80643962e-02 3.48176866e-02 5.76720634e-01 3.60397283e-01]
 [5.71707481e-02 5.71133477e-03 9.36509714e-01 6.08202851e-04]]",(0.149885885048+0j)
21,21,The imaginative bee buzzed around the sweet flower. It was abundant with pollen.,0.4909016984157941,0.4909016984179224,-2.8565830483631567,1.96360679367184,1.7005087076696968,"[[0.64006647 0.01982565 0.21730666 0.12280122]
 [0.4251944  0.23469772 0.20173986 0.13836802]
 [0.32178163 0.0446898  0.5355915  0.09793706]
 [0.32010308 0.04636836 0.30683119 0.32669737]]",(0.418386941826+0j)
22,22,The diligent birds chose the overlooked seeds. They were a quick snack.,0.4852557307362066,0.4852557307359971,-2.7049213451335055,2.1377407301494253,1.5674032138556355,"[[0.09024917 0.50473908 0.04218612 0.36282564]
 [0.0605181  0.53447014 0.04921441 0.35579734]
 [0.0115982  0.04895487 0.12083709 0.81860985]
 [0.00986393 0.05068913 0.09986858 0.83957836]]",(0.447008789199-0j)
23,23,The sniper assassinated the notorious terrorist. He was a precise marksman.,0.6680209782005324,0.6680209781978116,-3.7936122788803233,2.672083912811691,1.5753975463404133,"[[0.62185679 0.22391817 0.11046744 0.0437576 ]
 [0.14987334 0.69590161 0.02788063 0.12634441]
 [0.48617376 0.18415903 0.24615047 0.08351674]
 [0.11427854 0.55605425 0.06347543 0.26619177]]",(0.98488576084-0j)
24,24,The sharp knife scratched the fence effortlessly. It was weak and unstable.,0.6705403176268421,0.6705403176207747,-4.871767818616626,3.880423952432225,1.558973135503718,"[[0.15204331 0.05119284 0.60035106 0.19641279]
 [0.14832573 0.05491042 0.72545074 0.07131311]
 [0.29946824 0.15336046 0.45292613 0.09424517]
 [0.39637078 0.05645792 0.47740569 0.06976562]]",(0.977888943154+0j)
25,25,The storm devastated the commercial flight. It was putting lives in peril.,0.4213999211554317,0.4213999211565957,-3.708436275022138,1.9463562554131764,1.575335402692961,"[[0.10618703 0.48890175 0.06750183 0.33740938]
 [0.39121567 0.20387311 0.26906225 0.13584896]
 [0.09247934 0.45857052 0.08120952 0.36774062]
 [0.35780803 0.19324183 0.3024699  0.14648024]]",(0.005113398122-0j)
26,26,The chirpy birds foraged for the seeds. They were seeking new experiences.,0.697920036325984,0.697920036435622,-3.5057904869704197,2.6146241167090256,1.583158501886191,"[[0.07066272 0.47768115 0.06662313 0.38503301]
 [0.36679401 0.18154985 0.31281946 0.13883667]
 [0.00230623 0.02365122 0.13497962 0.83906293]
 [0.01559843 0.01035902 0.66401505 0.31002751]]",(0.208353646602-0j)
27,27,The imaginative bee stopped at the pristine flower. It was collecting essential pollen.,0.6786200614318146,0.678620061479603,-3.480233098842808,3.1339787907577934,1.8228062950507,"[[0.41883496 0.03116225 0.43152597 0.11847682]
 [0.180913   0.26908421 0.37395885 0.17604394]
 [0.04804679 0.12369407 0.80231414 0.025945  ]
 [0.00305146 0.1686894  0.55182038 0.27643875]]",(0.942373595416-0j)
28,28,The serrated knife scraped the construction fence surrounding the park. It was a rotten and weakened.,0.3828846782828108,0.382884678378951,-2.528752341824944,1.5315387135206946,1.577851621312383,"[[0.05126983 0.13135729 0.21428084 0.60309204]
 [0.00304893 0.17957819 0.01765793 0.79971495]
 [0.10797226 0.29561927 0.15757841 0.43883006]
 [0.00768408 0.39590746 0.01302278 0.58338568]]",(0.415621670049-0j)
29,29,The unwavering people led a protest against the government. They were embezzling public funds.,0.6423334964046552,0.6423334964109149,-3.066323379512964,2.5693339856568245,1.6302399158048244,"[[0.20287255 0.2076359  0.45766343 0.13182812]
 [0.03746027 0.37304818 0.16284317 0.42664838]
 [0.58241797 0.26021896 0.078118   0.07924506]
 [0.07714439 0.76549255 0.12315905 0.03420401]]",(0.335600234966+0j)
30,30,The sailors jumped off the navy boats. They were ignoring the warnings.,0.573861198041968,0.573861198041722,-3.614206112547309,2.2954447921847017,1.5757313138165705,"[[0.63151112 0.12072097 0.20808884 0.03967907]
 [0.40066963 0.35156246 0.14106809 0.10669982]
 [0.22714714 0.03859162 0.61245282 0.12180842]
 [0.14086116 0.1248776  0.40087656 0.33338468]]",(0.971492115426+0j)
31,31,The clever bee crawled on the flower. It was producing honey.,0.5944944145504657,0.5944944144443749,-3.598967289087446,2.37797765825919,1.6957217344261892,"[[0.53477324 0.09831539 0.24973559 0.11717578]
 [0.15548884 0.47759979 0.09401904 0.27289233]
 [0.12879251 0.0612219  0.65571632 0.15426927]
 [0.01587954 0.17413488 0.23362834 0.57635724]]",(0.487363217483+0j)
32,32,The active bee hovered above the flowering flower. It was an untouched paradise.,0.8862680313465064,0.8862680313695256,-5.160044909303012,4.211461023693297,1.5829256928268962,"[[4.38589011e-01 5.60592664e-01 3.54769135e-04 4.63555385e-04]
 [1.12902000e-01 8.86279675e-01 1.16440588e-05 8.06680461e-04]
 [2.71826218e-01 3.33714787e-01 1.67117562e-01 2.27341433e-01]
 [6.95764981e-02 5.35964507e-01 4.33371460e-02 3.51121849e-01]]",(0.110702466635-0j)
33,33,The graceful birds foraged for the scattered seeds. They were a juicy delight.,0.6426672313734119,0.6426672314596494,-2.9682608334902025,1.8882804453723177,1.6158003636034823,"[[0.01449756 0.51256074 0.04049063 0.43245106]
 [0.27531306 0.25174525 0.23324744 0.23969425]
 [0.00140166 0.06124866 0.05358654 0.88376314]
 [0.01720494 0.04544538 0.49135556 0.44599412]]",(0.95195325963+0j)
34,34,The bee hovered over the flower. It was full of pollen.,0.2796607107966737,0.2796607109904366,-1.8049441213126325,1.3297757678049735,1.5790051523623547,"[[5.68908974e-02 2.95042714e-01 9.81305740e-02 5.49935814e-01]
 [2.45247483e-02 3.27408863e-01 4.77481526e-02 6.00318236e-01]
 [4.84164204e-03 1.46480277e-02 1.50179829e-01 8.30330501e-01]
 [4.94989322e-04 1.89946804e-02 7.17779116e-02 9.08732419e-01]]",(0.088937350977-0j)
35,35,The durable knife scratched the swimming fence with care. It was sharp and powerful.,0.9397235695442044,0.9397235695444672,-5.971804166011109,5.526317053870733,1.582070486478805,"[[1.15477137e-03 3.03426911e-04 7.94061908e-01 2.04479894e-01]
 [1.37723423e-03 8.09640527e-05 9.39804534e-01 5.87372681e-02]
 [2.81040850e-01 7.23201353e-02 5.14175829e-01 1.32463186e-01]
 [3.32520588e-01 2.08403968e-02 6.08661180e-01 3.79778354e-02]]",(0.496309685887-0j)
